Governance Category,Control,Regulation,Corresponding Rule,Measure,Measure Data
Corporate Oversight,AI Transparency,California AI Laws | Colorado AI Act | EU AI Act | ISO/IEC 42001 | Illinois AI Laws | NIST AI RMF | NIST GenAI Profile | Texas TRAIGA | Utah AI Policy Act | Washington SB 5827,"California AI Laws -> CA-001: Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content. || California AI Laws -> CA-002: Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI. || California AI Laws -> CA-003: Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods. || Colorado AI Act -> CO-007: Deployers shall provide notice to consumers before deploying a high-risk AI system to make a consequential decision including purpose, nature of decision, and contact information. || Colorado AI Act -> CO-009: Developers shall make available documentation sufficient to enable deployers to understand intended uses, known limitations, and measures to manage algorithmic discrimination. || Colorado AI Act -> CO-010: Developers shall publish a website statement summarising types of high-risk AI systems developed and measures taken to manage algorithmic discrimination. || EU AI Act -> EU-014: Human oversight measures shall enable oversight persons to be aware of the possible tendency of automatically relying on or over-relying on the AI system output. || EU AI Act -> EU-025: High-risk AI systems shall be sufficiently transparent to enable deployers to interpret the system's output and use it appropriately. || EU AI Act -> EU-026: High-risk AI systems shall be accompanied by instructions for use including identity of provider, intended purpose, accuracy level, and known risk circumstances. || EU AI Act -> EU-039: AI systems deploying subliminal, manipulative, or deceptive techniques to distort behaviour and impair informed decision-making shall not be placed on the market. || EU AI Act -> EU-042: Providers and deployers of AI systems that interact with natural persons shall inform those persons they are interacting with an AI system unless obvious from context. || EU AI Act -> EU-043: Providers of AI systems generating synthetic audio, image, video, or text shall mark outputs in a machine-readable format detectable as AI-generated. || ISO/IEC 42001 -> ISO-016: Processes for transparency and explainability appropriate to context, impact, and regulatory requirements shall be established. || Illinois AI Laws -> IL-001: Employers using AI to analyse video interviews shall notify applicants that AI will be used, explain what it evaluates, and obtain consent before use. || NIST AI RMF -> NIST-024: Explainability and interpretability shall be evaluated as appropriate to the AI system's risk classification and use context. || NIST GenAI Profile -> NIST-G01: Organizations shall implement measures to detect and mitigate confabulation (hallucination) risks from generative AI including factual accuracy verification processes. || NIST GenAI Profile -> NIST-G04: Organizations shall implement controls to detect, prevent, and respond to generation of hateful, harassing, violent, or discriminatory content from generative AI systems. || NIST GenAI Profile -> NIST-G07: Organizations shall assess and mitigate risks of homogenisation of AI outputs and potential over-reliance on generative AI for decision-making. || NIST GenAI Profile -> NIST-G08: Organizations shall implement controls for responsible disclosure of AI-generated content including synthetic media watermarking and provenance tracking. || Texas TRAIGA -> TX-002: State agencies deploying AI systems for consequential decisions shall disclose to affected individuals that AI was used in the decision-making process. || Utah AI Policy Act -> UT-001: Entities using generative AI to interact with consumers shall provide clear and conspicuous disclosure of AI involvement when directly asked or in high-risk interactions. || Washington SB 5827 -> WA-002: Covered entities shall publish clear notice to individuals subject to decisions made by automated decision systems about the existence and nature of the system.","ai.transparency.disclosure_rate: latest(ai.transparency.disclosure_rate, window=realtime) lte ?",ai.transparency.disclosure_rate
Corporate Oversight,Roles and Resources,Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST AI RMF | Texas TRAIGA,"Colorado AI Act -> CO-011: Deployers shall implement and maintain a governance program including ongoing testing for algorithmic discrimination, reporting mechanisms, and staff training. || EU AI Act -> EU-021: Providers shall put in place a documented quality management system ensuring compliance with this Regulation. || EU AI Act -> EU-028: Deployers shall assign human oversight to natural persons with the necessary competence, training, authority, and support. || ISO/IEC 42001 -> ISO-001: The organisation shall establish, implement, maintain, and continually improve an AI management system. || ISO/IEC 42001 -> ISO-004: Responsibilities and authorities for relevant roles shall be assigned and communicated within the organisation for AI risk management. || ISO/IEC 42001 -> ISO-009: The organisation shall determine and provide resources needed for the establishment, implementation, maintenance, and improvement of the AI management system. || ISO/IEC 42001 -> ISO-011: Documented information as evidence of competence shall be maintained for persons working on AI systems. || ISO/IEC 42001 -> ISO-018: Human oversight mechanisms appropriate to the significance of the AI system's potential impacts shall be established. || NIST AI RMF -> NIST-001: Organizations shall establish policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks. || NIST AI RMF -> NIST-003: Organizational leaders shall take responsibility for decisions about risks associated with AI system development and deployment. || NIST AI RMF -> NIST-010: Organizational teams shall be committed to developing processes enabling staff to raise AI risk concerns without fear of retaliation. || NIST AI RMF -> NIST-012: Roles, responsibilities, and lines of communication related to AI risk management shall be clearly defined, documented, and maintained. || NIST AI RMF -> NIST-013: Organizational teams shall be committed to diversity, equity, inclusion, and accessibility in AI processes and outcomes. || NIST AI RMF -> NIST-019: Practices and personnel for regular engagement with relevant AI actors shall be in place to identify, evaluate, and manage AI risks and impacts. || Texas TRAIGA -> TX-003: State agencies shall ensure AI systems used for consequential decisions are subject to human oversight including the ability to review and override AI recommendations.","ai.governance.role_fill_rate: latest(ai.governance.role_fill_rate, window=realtime) lte ?",ai.governance.role_fill_rate
Corporate Oversight,Consumer Interaction Disclosure,California AI Laws | Colorado AI Act | EU AI Act | Illinois AI Laws | NIST GenAI Profile | Texas TRAIGA | Utah AI Policy Act | Washington SB 5827,"California AI Laws -> CA-002: Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI. || Colorado AI Act -> CO-007: Deployers shall provide notice to consumers before deploying a high-risk AI system to make a consequential decision including purpose, nature of decision, and contact information. || Colorado AI Act -> CO-008: Deployers shall provide consumers with an opportunity to correct information used in a consequential decision and to appeal the decision to a human being. || EU AI Act -> EU-042: Providers and deployers of AI systems that interact with natural persons shall inform those persons they are interacting with an AI system unless obvious from context. || Illinois AI Laws -> IL-001: Employers using AI to analyse video interviews shall notify applicants that AI will be used, explain what it evaluates, and obtain consent before use. || NIST GenAI Profile -> NIST-G07: Organizations shall assess and mitigate risks of homogenisation of AI outputs and potential over-reliance on generative AI for decision-making. || NIST GenAI Profile -> NIST-G08: Organizations shall implement controls for responsible disclosure of AI-generated content including synthetic media watermarking and provenance tracking. || Texas TRAIGA -> TX-002: State agencies deploying AI systems for consequential decisions shall disclose to affected individuals that AI was used in the decision-making process. || Utah AI Policy Act -> UT-001: Entities using generative AI to interact with consumers shall provide clear and conspicuous disclosure of AI involvement when directly asked or in high-risk interactions. || Washington SB 5827 -> WA-002: Covered entities shall publish clear notice to individuals subject to decisions made by automated decision systems about the existence and nature of the system.","ai.disclosure.consumer_rate: latest(ai.disclosure.consumer_rate, window=realtime) lte ?",ai.disclosure.consumer_rate
Corporate Oversight,Internal Audit,Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST AI RMF,"Colorado AI Act -> CO-006: Deployers shall make impact assessments available to the Colorado Attorney General upon request. || Colorado AI Act -> CO-011: Deployers shall implement and maintain a governance program including ongoing testing for algorithmic discrimination, reporting mechanisms, and staff training. || EU AI Act -> EU-021: Providers shall put in place a documented quality management system ensuring compliance with this Regulation. || ISO/IEC 42001 -> ISO-012: Internal audits shall be conducted at planned intervals to confirm the AI management system conforms to requirements and is effectively implemented. || ISO/IEC 42001 -> ISO-013: Top management shall review the AI management system at planned intervals to ensure continuing suitability, adequacy, and effectiveness. || ISO/IEC 42001 -> ISO-014: The organisation shall continually improve the suitability, adequacy, and effectiveness of the AI management system. || NIST AI RMF -> NIST-003: Organizational leaders shall take responsibility for decisions about risks associated with AI system development and deployment. || NIST AI RMF -> NIST-005: Organizational policies and practices shall foster a critical thinking and safety-first mindset in the design, development, deployment, and use of AI systems. || NIST AI RMF -> NIST-018: Scientific findings, domain knowledge, and industry best practices shall inform the identification and assessment of AI risks. || NIST AI RMF -> NIST-022: Likelihood and magnitude of each identified AI risk shall be measured or estimated including technical and non-technical sources.",N/A,N/A
Corporate Oversight,Executive Commitment,ISO/IEC 42001 | NIST AI RMF,"ISO/IEC 42001 -> ISO-001: The organisation shall establish, implement, maintain, and continually improve an AI management system. || ISO/IEC 42001 -> ISO-002: Top management shall demonstrate leadership and commitment by ensuring AI policy and AI objectives are established. || ISO/IEC 42001 -> ISO-003: The organisation shall establish an AI policy appropriate to its purpose providing a framework for setting AI objectives. || ISO/IEC 42001 -> ISO-013: Top management shall review the AI management system at planned intervals to ensure continuing suitability, adequacy, and effectiveness. || NIST AI RMF -> NIST-001: Organizations shall establish policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks. || NIST AI RMF -> NIST-002: Organizational teams shall be committed to a culture that considers and communicates AI risk with policies, processes, and practices applied and monitored. || NIST AI RMF -> NIST-003: Organizational leaders shall take responsibility for decisions about risks associated with AI system development and deployment. || NIST AI RMF -> NIST-005: Organizational policies and practices shall foster a critical thinking and safety-first mindset in the design, development, deployment, and use of AI systems.",N/A,N/A
Corporate Oversight,Safety and Security Validation,EU AI Act | NIST AI RMF | NIST GenAI Profile | Washington SB 5827,"EU AI Act -> EU-005: High-risk AI systems shall be tested to identify the most appropriate risk management measures, ensuring consistent performance for their intended purpose. || NIST AI RMF -> NIST-015: Policies shall be in place to address how AI systems are tested, evaluated, verified, and validated before being deployed. || NIST AI RMF -> NIST-021: AI systems shall be tested regularly to assess performance including for bias, fairness, robustness, and explainability characteristics. || NIST AI RMF -> NIST-023: AI system performance shall be evaluated against intended use requirements including performance metrics, uncertainty analysis, and calibration. || NIST AI RMF -> NIST-025: AI system security, resilience, and robustness shall be evaluated and documented including against adversarial attacks and unintended interactions. || NIST GenAI Profile -> NIST-G06: Organizations shall implement controls to prevent, detect, and respond to prompt injection attacks against generative AI systems. || Washington SB 5827 -> WA-001: Covered entities shall take reasonable steps to test automated decision systems for algorithmic discrimination before deployment and periodically thereafter.",N/A,N/A
Corporate Oversight,Stakeholder Engagement,EU AI Act | ISO/IEC 42001 | NIST AI RMF,"EU AI Act -> EU-029: Deployers shall conduct a fundamental rights impact assessment prior to deploying a high-risk AI system. || ISO/IEC 42001 -> ISO-006: The organisation shall carry out an AI system impact assessment identifying potential impacts on individuals and society from the AI system. || NIST AI RMF -> NIST-002: Organizational teams shall be committed to a culture that considers and communicates AI risk with policies, processes, and practices applied and monitored. || NIST AI RMF -> NIST-010: Organizational teams shall be committed to developing processes enabling staff to raise AI risk concerns without fear of retaliation. || NIST AI RMF -> NIST-013: Organizational teams shall be committed to diversity, equity, inclusion, and accessibility in AI processes and outcomes. || NIST AI RMF -> NIST-019: Practices and personnel for regular engagement with relevant AI actors shall be in place to identify, evaluate, and manage AI risks and impacts. || NIST AI RMF -> NIST-030: Risk treatment decisions shall be documented and impacts on stakeholders communicated across the AI lifecycle.",N/A,N/A
Corporate Oversight,Strategic Alignment,ISO/IEC 42001 | NIST AI RMF,"ISO/IEC 42001 -> ISO-002: Top management shall demonstrate leadership and commitment by ensuring AI policy and AI objectives are established. || ISO/IEC 42001 -> ISO-003: The organisation shall establish an AI policy appropriate to its purpose providing a framework for setting AI objectives. || ISO/IEC 42001 -> ISO-008: The organisation shall plan how to achieve AI objectives including resources required and how results will be evaluated. || NIST AI RMF -> NIST-002: Organizational teams shall be committed to a culture that considers and communicates AI risk with policies, processes, and practices applied and monitored. || NIST AI RMF -> NIST-004: Organizational teams shall document risks and potential impacts of AI technologies and establish, communicate, and monitor risk appetite and tolerance. || NIST AI RMF -> NIST-008: AI risk management shall be integrated into broader enterprise risk management processes and informed by organizational risk management policies. || NIST AI RMF -> NIST-009: The risk tolerance of the organization and AI systems shall be established, communicated, and updated throughout the AI lifecycle.",N/A,N/A
Corporate Oversight,Independent Catastrophic Risk Evaluation,NIST GenAI Profile | NY RAISE Act,"NIST GenAI Profile -> NIST-G03: Organizations shall assess and mitigate risks of generative AI producing content enabling development of chemical, biological, radiological, or nuclear weapons. || NY RAISE Act -> NY-001: Developers and deployers of covered AI systems shall conduct a safety impact assessment for any AI system with potential for catastrophic or critical harm.",N/A,N/A
Corporate Oversight,AI Safety Whistleblower Protections,NIST AI RMF,NIST AI RMF -> NIST-010: Organizational teams shall be committed to developing processes enabling staff to raise AI risk concerns without fear of retaliation.,N/A,N/A
Data Integration,Lifecycle Management,EU AI Act | ISO/IEC 42001 | NIST AI RMF,"EU AI Act -> EU-001: Providers of high-risk AI systems shall establish, implement, document and maintain a risk management system as a reasoned, iterative process run throughout the entire lifecycle. || EU AI Act -> EU-027: Deployers shall use high-risk AI systems in accordance with instructions for use and implement appropriate technical and organisational measures. || ISO/IEC 42001 -> ISO-001: The organisation shall establish, implement, maintain, and continually improve an AI management system. || NIST AI RMF -> NIST-015: Policies shall be in place to address how AI systems are tested, evaluated, verified, and validated before being deployed. || NIST AI RMF -> NIST-017: The specific context in which an AI system is intended to be used shall be documented and understood by organisational teams.",N/A,N/A
Data Integration,Third-Party Responsibilities,Colorado AI Act | Illinois AI Laws | NIST AI RMF,"Colorado AI Act -> CO-009: Developers shall make available documentation sufficient to enable deployers to understand intended uses, known limitations, and measures to manage algorithmic discrimination. || Illinois AI Laws -> IL-002: Employers shall not share AI-analysed video interview data with third parties except for storage or processing and shall delete data upon request. || NIST AI RMF -> NIST-006: Policies and procedures shall address AI risks and benefits from third-party software and data as well as organisational AI risks to third parties.",N/A,N/A
Data Integration,Supplier Risk,NIST AI RMF | NIST GenAI Profile,NIST AI RMF -> NIST-006: Policies and procedures shall address AI risks and benefits from third-party software and data as well as organisational AI risks to third parties. || NIST GenAI Profile -> NIST-G09: Organizations shall address value chain and supply chain risks for generative AI including third-party model and data provenance documentation.,N/A,N/A
Data Readiness,Personal Data,California AI Laws | EU AI Act | ISO/IEC 42001 | Illinois AI Laws | NIST AI RMF | NIST GenAI Profile,"California AI Laws -> CA-004: Training data documentation shall include percentage of data from licensed, purchased, or public domain sources and whether data includes personal information. || EU AI Act -> EU-009: To detect and correct biases, providers may process special categories of personal data subject to appropriate safeguards. || ISO/IEC 42001 -> ISO-017: Data governance procedures shall cover data quality, provenance, protection of personal data, and management of training data. || Illinois AI Laws -> IL-002: Employers shall not share AI-analysed video interview data with third parties except for storage or processing and shall delete data upon request. || NIST AI RMF -> NIST-016: Policies shall be in place to address privacy risks from AI systems including data minimisation, access controls, and anonymisation. || NIST AI RMF -> NIST-026: Privacy risks of AI systems shall be identified and documented including for sensitive data used in training, testing, or inference. || NIST GenAI Profile -> NIST-G02: Organizations shall address data privacy risks specific to generative AI including training data memorisation and inadvertent disclosure of personally identifiable information.","ai.privacy.consent_rate: latest(ai.privacy.consent_rate, window=realtime) lte ? || ai.privacy.dsr_response_time: latest(ai.privacy.dsr_response_time, window=realtime) lte ?","ai.privacy.consent_rate, ai.privacy.dsr_response_time"
Data Readiness,Data Quality,EU AI Act | ISO/IEC 42001 | NIST GenAI Profile,"EU AI Act -> EU-006: Training, validation and testing data sets shall be subject to data governance and management practices covering design choices, data collection, preparation, and known biases. || EU AI Act -> EU-007: Training, validation and testing data sets shall be relevant, sufficiently representative, and to the best extent possible free of errors and complete for the intended purpose. || EU AI Act -> EU-008: Training, validation and testing data sets shall account for the specific geographical, contextual, behavioural or functional setting of the intended use. || ISO/IEC 42001 -> ISO-017: Data governance procedures shall cover data quality, provenance, protection of personal data, and management of training data. || NIST GenAI Profile -> NIST-G02: Organizations shall address data privacy risks specific to generative AI including training data memorisation and inadvertent disclosure of personally identifiable information.","ai.data.bias_score: latest(ai.data.bias_score, window=realtime) lte ? || ai.data.quality_score: latest(ai.data.quality_score, window=realtime) lte ?","ai.data.bias_score, ai.data.quality_score"
Data Readiness,Privacy Compliance,ISO/IEC 42001 | Illinois AI Laws | NIST AI RMF | NIST GenAI Profile,"ISO/IEC 42001 -> ISO-015: The organisation shall ensure AI systems comply with applicable legal requirements including data protection, privacy, and non-discrimination law. || Illinois AI Laws -> IL-002: Employers shall not share AI-analysed video interview data with third parties except for storage or processing and shall delete data upon request. || NIST AI RMF -> NIST-014: Organizational policies shall establish processes for reporting, escalating, and resolving issues related to AI systems including privacy, security, bias, and safety. || NIST AI RMF -> NIST-016: Policies shall be in place to address privacy risks from AI systems including data minimisation, access controls, and anonymisation. || NIST GenAI Profile -> NIST-G05: Organizations shall implement measures to address intellectual property risks from generative AI including copyright infringement in training data and generated outputs.",N/A,N/A
Data Readiness,Privacy by Design,ISO/IEC 42001 | Illinois AI Laws | NIST AI RMF | NIST GenAI Profile,"ISO/IEC 42001 -> ISO-017: Data governance procedures shall cover data quality, provenance, protection of personal data, and management of training data. || Illinois AI Laws -> IL-001: Employers using AI to analyse video interviews shall notify applicants that AI will be used, explain what it evaluates, and obtain consent before use. || NIST AI RMF -> NIST-016: Policies shall be in place to address privacy risks from AI systems including data minimisation, access controls, and anonymisation. || NIST AI RMF -> NIST-026: Privacy risks of AI systems shall be identified and documented including for sensitive data used in training, testing, or inference. || NIST GenAI Profile -> NIST-G02: Organizations shall address data privacy risks specific to generative AI including training data memorisation and inadvertent disclosure of personally identifiable information.",N/A,N/A
Infrastructure,Resource Management,ISO/IEC 42001,"ISO/IEC 42001 -> ISO-009: The organisation shall determine and provide resources needed for the establishment, implementation, maintenance, and improvement of the AI management system.","ai.resources.compute_cost: latest(ai.resources.compute_cost, window=realtime) lte ? || ai.resources.token_usage: latest(ai.resources.token_usage, window=realtime) lte ?","ai.resources.compute_cost, ai.resources.token_usage"
Risk & Compliance,Risk Identification,EU AI Act | ISO/IEC 42001 | NIST AI RMF | NIST GenAI Profile | NY RAISE Act,"EU AI Act -> EU-001: Providers of high-risk AI systems shall establish, implement, document and maintain a risk management system as a reasoned, iterative process run throughout the entire lifecycle. || EU AI Act -> EU-002: The risk management system shall identify and analyse the known and reasonably foreseeable risks that the high-risk AI system can pose to health, safety or fundamental rights. || EU AI Act -> EU-003: Providers must estimate and evaluate risks that may emerge when the high-risk AI system is used in accordance with its intended purpose and under conditions of reasonably foreseeable misuse. || ISO/IEC 42001 -> ISO-005: The organisation shall determine risks and opportunities related to the AI management system that need to be addressed to achieve intended outcomes. || NIST AI RMF -> NIST-004: Organizational teams shall document risks and potential impacts of AI technologies and establish, communicate, and monitor risk appetite and tolerance. || NIST AI RMF -> NIST-006: Policies and procedures shall address AI risks and benefits from third-party software and data as well as organisational AI risks to third parties. || NIST AI RMF -> NIST-007: Processes and procedures shall be in place for timely identification of risks and incidents from AI systems through testing, evaluation, verification, validation, and monitoring. || NIST AI RMF -> NIST-018: Scientific findings, domain knowledge, and industry best practices shall inform the identification and assessment of AI risks. || NIST AI RMF -> NIST-019: Practices and personnel for regular engagement with relevant AI actors shall be in place to identify, evaluate, and manage AI risks and impacts. || NIST AI RMF -> NIST-020: AI risk and impact assessments shall include how AI system performance can vary for different user groups, contexts, and conditions including bias and disparate impacts. || NIST AI RMF -> NIST-022: Likelihood and magnitude of each identified AI risk shall be measured or estimated including technical and non-technical sources. || NIST AI RMF -> NIST-026: Privacy risks of AI systems shall be identified and documented including for sensitive data used in training, testing, or inference. || NIST GenAI Profile -> NIST-G09: Organizations shall address value chain and supply chain risks for generative AI including third-party model and data provenance documentation. || NY RAISE Act -> NY-001: Developers and deployers of covered AI systems shall conduct a safety impact assessment for any AI system with potential for catastrophic or critical harm.",N/A,N/A
Risk & Compliance,Risk Framework,Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST AI RMF,"Colorado AI Act -> CO-003: Deployers shall implement a risk management policy and program for high-risk AI systems including measures to identify, document, and mitigate algorithmic discrimination. || Colorado AI Act -> CO-011: Deployers shall implement and maintain a governance program including ongoing testing for algorithmic discrimination, reporting mechanisms, and staff training. || Colorado AI Act -> CO-012: Compliance with NIST AI RMF or ISO 42001 creates a rebuttable presumption of compliance with the risk management program requirements. || EU AI Act -> EU-001: Providers of high-risk AI systems shall establish, implement, document and maintain a risk management system as a reasoned, iterative process run throughout the entire lifecycle. || ISO/IEC 42001 -> ISO-001: The organisation shall establish, implement, maintain, and continually improve an AI management system. || ISO/IEC 42001 -> ISO-004: Responsibilities and authorities for relevant roles shall be assigned and communicated within the organisation for AI risk management. || ISO/IEC 42001 -> ISO-005: The organisation shall determine risks and opportunities related to the AI management system that need to be addressed to achieve intended outcomes. || ISO/IEC 42001 -> ISO-008: The organisation shall plan how to achieve AI objectives including resources required and how results will be evaluated. || NIST AI RMF -> NIST-001: Organizations shall establish policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks. || NIST AI RMF -> NIST-004: Organizational teams shall document risks and potential impacts of AI technologies and establish, communicate, and monitor risk appetite and tolerance. || NIST AI RMF -> NIST-008: AI risk management shall be integrated into broader enterprise risk management processes and informed by organizational risk management policies. || NIST AI RMF -> NIST-009: The risk tolerance of the organization and AI systems shall be established, communicated, and updated throughout the AI lifecycle. || NIST AI RMF -> NIST-012: Roles, responsibilities, and lines of communication related to AI risk management shall be clearly defined, documented, and maintained.",N/A,N/A
Risk & Compliance,Transparency,California AI Laws | Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST GenAI Profile | Utah AI Policy Act | Washington SB 5827,"California AI Laws -> CA-001: Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content. || California AI Laws -> CA-002: Providers of generative AI systems shall provide users with a tool to detect whether image, video, or audio content was generated or substantially modified by AI. || California AI Laws -> CA-003: Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods. || Colorado AI Act -> CO-007: Deployers shall provide notice to consumers before deploying a high-risk AI system to make a consequential decision including purpose, nature of decision, and contact information. || Colorado AI Act -> CO-010: Developers shall publish a website statement summarising types of high-risk AI systems developed and measures taken to manage algorithmic discrimination. || EU AI Act -> EU-025: High-risk AI systems shall be sufficiently transparent to enable deployers to interpret the system's output and use it appropriately. || EU AI Act -> EU-026: High-risk AI systems shall be accompanied by instructions for use including identity of provider, intended purpose, accuracy level, and known risk circumstances. || EU AI Act -> EU-042: Providers and deployers of AI systems that interact with natural persons shall inform those persons they are interacting with an AI system unless obvious from context. || EU AI Act -> EU-043: Providers of AI systems generating synthetic audio, image, video, or text shall mark outputs in a machine-readable format detectable as AI-generated. || ISO/IEC 42001 -> ISO-016: Processes for transparency and explainability appropriate to context, impact, and regulatory requirements shall be established. || NIST GenAI Profile -> NIST-G08: Organizations shall implement controls for responsible disclosure of AI-generated content including synthetic media watermarking and provenance tracking. || Utah AI Policy Act -> UT-001: Entities using generative AI to interact with consumers shall provide clear and conspicuous disclosure of AI involvement when directly asked or in high-risk interactions. || Washington SB 5827 -> WA-002: Covered entities shall publish clear notice to individuals subject to decisions made by automated decision systems about the existence and nature of the system.","ai.transparency.doc_completeness: latest(ai.transparency.doc_completeness, window=realtime) lte ?",ai.transparency.doc_completeness
Risk & Compliance,Record-Keeping,California AI Laws | Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST AI RMF | Washington SB 5827,"California AI Laws -> CA-004: Training data documentation shall include percentage of data from licensed, purchased, or public domain sources and whether data includes personal information. || Colorado AI Act -> CO-006: Deployers shall make impact assessments available to the Colorado Attorney General upon request. || EU AI Act -> EU-010: Providers shall draw up technical documentation before placing a high-risk AI system on the market and keep it up to date throughout the lifecycle. || EU AI Act -> EU-011: Technical documentation shall contain at minimum a general description, detailed development process, monitoring, functioning and control of the system per Annex IV. || EU AI Act -> EU-022: Providers shall keep logs automatically generated by their high-risk AI system for a period appropriate to the intended purpose. || ISO/IEC 42001 -> ISO-007: Documented information on AI risk treatment plans shall be maintained including controls selected, rationale, and residual risk. || ISO/IEC 42001 -> ISO-011: Documented information as evidence of competence shall be maintained for persons working on AI systems. || ISO/IEC 42001 -> ISO-012: Internal audits shall be conducted at planned intervals to confirm the AI management system conforms to requirements and is effectively implemented. || NIST AI RMF -> NIST-012: Roles, responsibilities, and lines of communication related to AI risk management shall be clearly defined, documented, and maintained. || NIST AI RMF -> NIST-027: AI system risks and incidents shall be tracked through the AI lifecycle with evidence maintained for accountability and traceability. || NIST AI RMF -> NIST-030: Risk treatment decisions shall be documented and impacts on stakeholders communicated across the AI lifecycle. || Washington SB 5827 -> WA-003: Covered entities shall maintain documentation of testing methodologies and results for automated decision systems for a period sufficient to demonstrate compliance.","ai.records.audit_log_integrity: latest(ai.records.audit_log_integrity, window=realtime) lte ?",ai.records.audit_log_integrity
Risk & Compliance,Regulatory Compliance,Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST AI RMF | NIST GenAI Profile | Texas TRAIGA,"Colorado AI Act -> CO-006: Deployers shall make impact assessments available to the Colorado Attorney General upon request. || Colorado AI Act -> CO-012: Compliance with NIST AI RMF or ISO 42001 creates a rebuttable presumption of compliance with the risk management program requirements. || EU AI Act -> EU-021: Providers shall put in place a documented quality management system ensuring compliance with this Regulation. || EU AI Act -> EU-027: Deployers shall use high-risk AI systems in accordance with instructions for use and implement appropriate technical and organisational measures. || EU AI Act -> EU-030: Providers shall register high-risk AI systems in the EU database before placing them on the market or putting them into service. || ISO/IEC 42001 -> ISO-003: The organisation shall establish an AI policy appropriate to its purpose providing a framework for setting AI objectives. || ISO/IEC 42001 -> ISO-015: The organisation shall ensure AI systems comply with applicable legal requirements including data protection, privacy, and non-discrimination law. || NIST AI RMF -> NIST-001: Organizations shall establish policies, processes, procedures, and practices across the organization related to the mapping, measuring, and managing of AI risks. || NIST AI RMF -> NIST-008: AI risk management shall be integrated into broader enterprise risk management processes and informed by organizational risk management policies. || NIST AI RMF -> NIST-011: Policies shall address how AI risks are evaluated including for bias and discrimination, reviewed and updated on a regular basis. || NIST GenAI Profile -> NIST-G05: Organizations shall implement measures to address intellectual property risks from generative AI including copyright infringement in training data and generated outputs. || Texas TRAIGA -> TX-001: No person may develop or deploy an AI system with intent to unlawfully discriminate against an individual based on a protected characteristic.",N/A,N/A
